time,open,high,low,close,volume
2026-03-16 09:00:00+07:00,1847.0,1848.3,1847.0,1847.8,3435
2026-03-16 09:01:00+07:00,1848.0,1848.2,1846.6,1846.6,1193
2026-03-16 09:02:00+07:00,1846.6,1846.9,1846.0,1846.5,1095
2026-03-16 09:03:00+07:00,1846.4,1846.7,1845.5,1845.8,1038
2026-03-16 09:04:00+07:00,1845.8,1847.6,1845.8,1847.5,1733
2026-03-16 09:05:00+07:00,1847.5,1848.1,1847.3,1847.3,655
2026-03-16 09:06:00+07:00,1847.4,1847.6,1845.4,1845.6,507
2026-03-16 09:07:00+07:00,1845.6,1845.6,1842.2,1843.6,1868
2026-03-16 09:08:00+07:00,1843.5,1845.4,1843.4,1844.6,627
2026-03-16 09:09:00+07:00,1844.6,1846.0,1844.5,1845.0,385
2026-03-16 09:10:00+07:00,1845.1,1846.0,1845.0,1845.8,280
2026-03-16 09:11:00+07:00,1845.9,1847.9,1845.9,1847.0,1070
2026-03-16 09:12:00+07:00,1847.2,1848.5,1847.0,1847.4,858
2026-03-16 09:13:00+07:00,1847.5,1848.8,1847.3,1847.8,916
2026-03-16 09:14:00+07:00,1847.8,1848.7,1847.0,1847.7,699
2026-03-16 09:15:00+07:00,1847.7,1849.5,1847.4,1849.4,1513
2026-03-16 09:16:00+07:00,1849.1,1849.5,1846.9,1847.6,1254
2026-03-16 09:17:00+07:00,1847.9,1848.5,1846.8,1847.0,699
2026-03-16 09:18:00+07:00,1847.0,1847.5,1843.3,1844.5,1865
2026-03-16 09:19:00+07:00,1844.4,1845.0,1843.0,1844.2,1193
2026-03-16 09:20:00+07:00,1844.1,1844.2,1842.7,1843.4,1391
2026-03-16 09:21:00+07:00,1843.4,1844.4,1842.6,1844.3,1046
2026-03-16 09:22:00+07:00,1844.2,1846.0,1844.0,1845.9,791
2026-03-16 09:23:00+07:00,1845.5,1846.0,1844.8,1845.2,471
2026-03-16 09:24:00+07:00,1845.2,1845.8,1844.7,1845.6,492
2026-03-16 09:25:00+07:00,1845.8,1846.0,1845.3,1845.3,901
2026-03-16 09:26:00+07:00,1845.3,1845.3,1841.7,1842.4,1731
2026-03-16 09:27:00+07:00,1842.4,1843.0,1841.0,1841.8,1168
2026-03-16 09:28:00+07:00,1842.0,1842.7,1840.7,1842.0,948
2026-03-16 09:29:00+07:00,1841.7,1842.0,1841.0,1841.2,738
2026-03-16 09:30:00+07:00,1841.2,1842.4,1840.5,1842.4,1222
2026-03-16 09:31:00+07:00,1842.3,1843.8,1841.9,1842.4,631
2026-03-16 09:32:00+07:00,1842.4,1842.5,1841.2,1842.0,710
2026-03-16 09:33:00+07:00,1841.8,1842.0,1840.6,1841.5,520
2026-03-16 09:34:00+07:00,1841.5,1841.8,1840.6,1841.4,408
2026-03-16 09:35:00+07:00,1841.5,1842.5,1841.1,1842.4,411
2026-03-16 09:36:00+07:00,1842.3,1842.4,1840.6,1840.8,510
2026-03-16 09:37:00+07:00,1840.8,1841.9,1840.8,1841.9,417
2026-03-16 09:38:00+07:00,1841.9,1843.5,1841.5,1842.7,804
2026-03-16 09:39:00+07:00,1842.7,1843.3,1842.0,1843.0,496
2026-03-16 09:40:00+07:00,1842.6,1843.0,1841.1,1841.2,491
2026-03-16 09:41:00+07:00,1841.3,1842.0,1840.6,1842.0,447
2026-03-16 09:42:00+07:00,1842.1,1842.8,1842.1,1842.5,446
2026-03-16 09:43:00+07:00,1842.4,1842.6,1841.6,1842.5,515
2026-03-16 09:44:00+07:00,1842.5,1844.0,1842.0,1844.0,1612
2026-03-16 09:45:00+07:00,1844.0,1845.6,1843.6,1844.9,1544
2026-03-16 09:46:00+07:00,1844.9,1845.5,1843.7,1844.1,682
2026-03-16 09:47:00+07:00,1844.1,1846.0,1844.1,1844.5,780
2026-03-16 09:48:00+07:00,1844.6,1844.9,1843.3,1843.6,396
2026-03-16 09:49:00+07:00,1843.8,1844.5,1843.1,1844.4,480
2026-03-16 09:50:00+07:00,1844.3,1845.2,1843.7,1844.8,390
2026-03-16 09:51:00+07:00,1844.8,1847.0,1844.6,1845.9,1033
2026-03-16 09:52:00+07:00,1845.9,1846.4,1844.5,1845.0,502
2026-03-16 09:53:00+07:00,1845.0,1845.0,1843.2,1844.0,499
2026-03-16 09:54:00+07:00,1844.0,1844.2,1842.3,1842.9,833
2026-03-16 09:55:00+07:00,1842.7,1842.8,1841.1,1842.2,1078
2026-03-16 09:56:00+07:00,1842.1,1842.9,1841.6,1841.7,417
2026-03-16 09:57:00+07:00,1841.7,1843.3,1841.1,1842.7,568
2026-03-16 09:58:00+07:00,1842.9,1844.0,1842.5,1843.3,510
2026-03-16 09:59:00+07:00,1843.7,1844.4,1843.0,1844.4,399
2026-03-16 10:00:00+07:00,1844.3,1845.4,1844.1,1844.9,823
2026-03-16 10:01:00+07:00,1844.9,1845.5,1843.4,1844.0,601
2026-03-16 10:02:00+07:00,1844.1,1847.9,1843.3,1847.4,1714
2026-03-16 10:03:00+07:00,1847.4,1853.8,1847.4,1852.9,4325
2026-03-16 10:04:00+07:00,1852.9,1854.5,1851.3,1853.5,3015
2026-03-16 10:05:00+07:00,1854.0,1854.5,1852.1,1853.0,1415
2026-03-16 10:06:00+07:00,1853.1,1854.8,1853.0,1853.5,936
2026-03-16 10:07:00+07:00,1853.5,1856.8,1852.7,1856.0,2434
2026-03-16 10:08:00+07:00,1856.0,1858.1,1855.5,1856.8,2400
2026-03-16 10:09:00+07:00,1856.6,1858.6,1856.5,1857.3,1737
2026-03-16 10:10:00+07:00,1857.1,1857.9,1856.0,1856.4,1509
2026-03-16 10:11:00+07:00,1856.4,1856.4,1854.1,1854.6,1540
2026-03-16 10:12:00+07:00,1854.6,1855.3,1853.4,1853.8,739
2026-03-16 10:13:00+07:00,1853.8,1855.0,1853.7,1854.5,566
2026-03-16 10:14:00+07:00,1854.6,1854.6,1853.0,1853.9,862
2026-03-16 10:15:00+07:00,1853.8,1854.0,1852.7,1853.5,930
2026-03-16 10:16:00+07:00,1853.5,1854.8,1853.4,1853.8,736
2026-03-16 10:17:00+07:00,1853.8,1854.0,1853.4,1854.0,339
2026-03-16 10:18:00+07:00,1854.0,1854.6,1852.7,1853.1,643
2026-03-16 10:19:00+07:00,1853.3,1854.0,1853.0,1854.0,687
2026-03-16 10:20:00+07:00,1854.0,1854.6,1852.0,1852.0,1132
2026-03-16 10:21:00+07:00,1852.0,1853.1,1852.0,1853.0,281
2026-03-16 10:22:00+07:00,1853.0,1854.8,1852.9,1854.3,543
2026-03-16 10:23:00+07:00,1854.6,1855.0,1853.6,1854.0,702
2026-03-16 10:24:00+07:00,1854.0,1855.0,1854.0,1855.0,451
2026-03-16 10:25:00+07:00,1855.0,1855.2,1850.7,1851.4,2053
2026-03-16 10:26:00+07:00,1851.4,1852.6,1850.5,1851.9,1366
2026-03-16 10:27:00+07:00,1851.9,1852.9,1851.2,1852.0,596
2026-03-16 10:28:00+07:00,1852.0,1853.4,1851.6,1851.6,575
2026-03-16 10:29:00+07:00,1851.7,1853.4,1851.5,1852.8,519
2026-03-16 10:30:00+07:00,1852.8,1854.5,1852.6,1853.2,754
2026-03-16 10:31:00+07:00,1853.4,1853.7,1852.7,1852.8,428
2026-03-16 10:32:00+07:00,1852.8,1853.8,1852.7,1853.4,248
2026-03-16 10:33:00+07:00,1853.3,1854.5,1853.1,1853.5,522
2026-03-16 10:34:00+07:00,1853.5,1856.4,1853.5,1856.3,1739
2026-03-16 10:35:00+07:00,1856.3,1858.5,1856.3,1857.0,2290
2026-03-16 10:36:00+07:00,1857.0,1857.9,1856.3,1857.2,782
2026-03-16 10:37:00+07:00,1857.5,1858.0,1856.2,1856.3,979
2026-03-16 10:38:00+07:00,1856.3,1857.2,1855.5,1855.6,677
2026-03-16 10:39:00+07:00,1855.8,1856.7,1855.3,1855.3,744
